emp_no,last_name,first_name,dept_name
10001,Facello,Georgi,Development
10004,Koblick,Chirstian,Production
10009,Peac,Sumant,Quality Management
10018,Peha,Kazuhide,Production
10018,Peha,Kazuhide,Development
10035,Chappelet,Alain,Production
10053,Zschoche,Sanjiv,Sales
10058,McFarlin,Berhard,Marketing
10066,Schusler,Kwee,Development
10067,Stavenow,Claudi,Quality Management
10070,Garigliano,Reuven,Development
10070,Garigliano,Reuven,Research
10072,Sidou,Hironoby,Development
10076,Ritzmann,Erez,Development
10088,Syrzycki,Jungsoon,Sales
10088,Syrzycki,Jungsoon,Customer Service
10100,Haraldson,Hironobu,Human Resources
10103,Birch,Akemi,Development
10126,Valtorta,Kayoko,Customer Service
10129,Peir,Armond,Development
10130,Casperson,Nishit,Production
10134,Siprelle,Diederik,Production
10134,Siprelle,Diederik,Development
10138,Shimshoni,Perry,Quality Management
10150,Perng,Zhenbing,Development
10153,Majewski,Heekeun,Development
10157,Aloisi,Nigel,Development
10198,Furedi,Pranav,Development
10215,Duclos,Xiaobin,Sales
10224,Trogemann,Leon,Production
10233,Vendrig,Lein,Human Resources
10258,Ishibashi,Basil,Development
10272,Cannane,Yishai,Finance
10282,Benzmuller,Hercules,Production
10283,Birjandi,Kauko,Development
10326,Czap,Masali,Research
10340,Laventhal,Djelloul,Marketing
10347,Kaminger,Pradeep,Research
10355,Cochrane,Satyanarayana,Sales
10356,Standera,Vasilis,Research
10364,Dengi,Nakhoon,Production
10372,Frijda,Anneli,Production
10387,Wrigley,Parto,Customer Service
10396,Rahier,Sibyl,Development
10402,Ebeling,Volkmar,Quality Management
10404,Rosti,Prodip,Development
10426,Luce,Arunas,Development
10429,Improta,Martien,Development
10432,Tiemann,Hisao,Customer Service
10451,Ranta,Bodh,Production
10453,Matzel,Tsvetan,Customer Service
10463,Zaiane,Ung,Sales
10486,Kossowski,Amstein,Quality Management
10494,Servieres,Yakkov,Production
10504,Varker,Xiong,Sales
10512,Gihr,Udi,Human Resources
10522,Cesareni,Marke,Human Resources
10548,Gunderson,Ramalingam,Marketing
10548,Gunderson,Ramalingam,Sales
10564,Thisen,Jianhao,Production
10623,Danlos,Aleksander,Development
10623,Danlos,Aleksander,Research
10628,Krogh,Krisda,Development
10631,Chaudhuri,Inderjeet,Development
10642,Narlikar,Hirochika,Development
10653,Feinberg,Otmar,Development
10671,Rebaine,Parviz,Human Resources
10676,Danley,Valeri,Development
10693,Daescu,Berhard,Customer Service
10702,Szemeredi,Bader,Development
10718,Rullman,Adib,Development
10726,Minakawa,Zita,Development
10734,Erdi,Sachar,Production
10745,Ranze,Poorav,Production
10749,Brendel,King,Production
10767,Doering,Monique,Sales
10768,Candan,Ishfaq,Production
10778,Merey,Selwyn,Marketing
10791,Sgarro,Tadahiko,Development
10795,Naudin,Supot,Sales
10808,Leijenhorst,Chenxi,Development
10835,Kermarrec,Tomoyuki,Production
10836,Leivant,Jianhua,Sales
10836,Leivant,Jianhua,Customer Service
10844,Koprowski,Dipayan,Development
10847,Danley,Theirry,Research
10848,Bratsberg,Fen,Production
10878,Deville,Lakshmi,Sales
10879,Chleq,Muzhong,Development
10883,Champarnaud,Shimshon,Production
10909,Atchley,Georgi,Development
10921,Bahi,Mara,Production
10924,Atchley,Hironoby,Sales
10927,Scallan,Gal,Marketing
10936,Schicker,Mountaz,Human Resources
10943,Skafidas,Berna,Development
10965,Braunschweig,Eckart,Sales
10969,Noriega,Premal,Development
10974,Papsdorf,Muneo,Development
10986,Schiper,Masako,Development
10988,Deyuan,Chinya,Development
10989,Candan,Sumali,Finance
10990,Foote,Shin,Development
11009,Axelband,Alper,Sales
11012,Speckmann,Taegyun,Marketing
11012,Speckmann,Taegyun,Customer Service
11019,Huttel,Leon,Development
11021,Henders,Srinidhi,Research
11027,Cappello,Remzi,Production
11031,Walstra,Ottavia,Marketing
11037,Maliniak,Lansing,Production
11038,Beidas,Jinya,Research
11042,Breugel,Gou,Development
11048,Demke,Jaques,Sales
11050,Katiyar,Elvis,Marketing
11051,Erol,Przemyslawa,Production
11070,Raney,Adib,Quality Management
11081,Boyle,Barry,Finance
11085,Thummel,Hailing,Production
11100,Cochrane,Berna,Research
11106,Iwayama,Aris,Development
11112,Mukaidono,Boaz,Customer Service
11113,Peng,Shahab,Marketing
11121,Kakkad,Vugranam,Development
11133,Azulay,Nalini,Quality Management
11134,Rajcani,Sachar,Quality Management
11137,Luca,Hugh,Development
11139,Homond,Bogdan,Customer Service
11146,Masand,Ishfaq,Sales
11148,Botman,Zhanqiu,Finance
11148,Botman,Zhanqiu,Human Resources
11162,Narlikar,Kauko,Development
11180,Bojadziev,Mitsuyuki,Development
11197,Fordan,Tadahiro,Sales
11204,Covnot,Diederik,Production
11207,Gips,Saeed,Development
11208,Valtorta,Saniya,Production
11211,Rissland,Yurij,Production
11217,Mawatari,Kellie,Production
11232,Crelier,Hidefumi,Customer Service
11240,Condotta,Kiam,Development
11249,Cyre,Randi,Development
11251,Chinal,Bezalel,Marketing
11268,Petersohn,Aimee,Production
11275,Eppinger,Hitomi,Development
11290,Dredge,Visit,Development
11295,Lanzelotte,Abdelkader,Finance
11319,Marrakchi,Pranas,Development
11320,McAlpine,Atilio,Marketing
11322,Pocchiola,Nathalie,Quality Management
11324,Billingsley,Kauko,Production
11338,Hanratty,Kwangsub,Sales
11339,Massonet,Flemming,Production
11347,Jonsson,Anneli,Development
11365,Shinomoto,Toshimi,Production
11376,Suomi,Valery,Research
11380,Pelc,Kenroku,Development
11385,Ullian,Shiv,Production
11386,Assaf,Alselm,Quality Management
11393,Junot,Junsik,Production
11398,Peir,Oscar,Finance
11404,Borovoy,Bedrich,Development
11415,Anido,Sanjiv,Production
11421,Msuda,Josyula,Production
11441,Aingworth,Marlo,Sales
11449,Asser,Kotesh,Production
11459,Suomi,Duke,Human Resources
11469,Giaccio,Guttorm,Production
11506,Picel,Rance,Sales
11509,Feldhoffer,Aleksander,Development
11513,Mahnke,Otmar,Finance
11515,Basawa,Ulf,Sales
11518,Oxman,Jinxi,Human Resources
11524,Standera,Xiadong,Development
11527,Boyle,Alagu,Marketing
11528,Dolinsky,Zito,Production
11537,Pehl,DAIDA,Sales
11554,Taubenfeld,Subhash,Marketing
11554,Taubenfeld,Subhash,Human Resources
11555,Perfilyeva,Kotesh,Human Resources
11567,Mitzlaff,Teiji,Sales
11568,Fujisaki,Martins,Development
11603,Swen,Herb,Finance
11607,Foong,Tomokazu,Production
11615,Isaak,Shem,Sales
11624,Gammage,Adil,Production
11628,Malinowski,Fan,Development
11628,Malinowski,Fan,Research
11640,Coorg,Valeri,Development
11647,Nitsche,Magy,Development
11660,Stenning,Gill,Sales
11673,Felder,Henk,Production
11676,Ferriere,Valeri,Production
11681,Benzmuller,Fumitake,Production
11684,Gide,Oksana,Marketing
11696,Rothe,Dante,Sales
11732,Ranft,Sanjoy,Production
11732,Ranft,Sanjoy,Customer Service
11735,Picci,Amalendu,Customer Service
11746,Marrakchi,Koichi,Sales
11751,Emiris,Jiafu,Research
11764,Anick,Sanjay,Production
11769,Lampe,Chandrasekaran,Development
11769,Lampe,Chandrasekaran,Research
11772,Penz,Gaurav,Development
11797,Thambidurai,Chenxi,Marketing
11797,Thambidurai,Chenxi,Sales
